,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction,pct_change,label
104,1,49.60,29,2012-08-16,1,49.73,49.04,1,49.09,49.52,47.12,8,49.52,0.0,bear correction,5598900,7469358.0,0.7495824942384607,0.50,1,1.0080645161290323,1
105,0,49.36,29,2012-08-17,1,49.84,49.13,0,49.84,49.52,47.12,8,49.52,0.0,bear correction,4653600,7417448.0,0.6273855913785982,0.96,1,1.9448946515397083,1
106,0,49.43,29,2012-08-20,1,49.82,49.01,0,49.21,49.52,47.12,8,49.52,0.0,bear correction,4930500,7387920.0,0.6673732254815969,1.31,1,2.650212421606312,2
107,1,49.63,29,2012-08-21,1,50.08,49.47,1,49.65,49.52,47.12,9,50.01,1.0,bull confirmed,5323300,7369660.0,0.7223264031176472,0.85,1,1.7126737860165222,1
108,0,50.14,29,2012-08-22,1,50.26,49.57,0,49.64,49.52,47.12,9,50.01,1.0,bull confirmed,5367100,7356524.0,0.7295701067515038,0.62,1,1.2365376944555246,1
109,0,50.10,29,2012-08-23,1,50.49,49.95,0,50.16,49.52,47.12,9,50.01,1.0,bull confirmed,4450300,7318058.0,0.6081258169858725,0.71,1,1.4171656686626746,1
110,0,50.32,29,2012-08-24,1,50.48,49.99,0,50.05,49.52,47.12,9,50.01,1.0,bull confirmed,4143200,7267926.0,0.5700663435483521,0.13,1,0.25834658187599363,1
111,1,50.74,29,2012-08-27,1,51.09,50.06,2,50.28,49.52,47.12,11,51.02,1.0,bull confirmed,4773600,7182978.0,0.664571156976953,-0.05,0,-0.09854158454867955,1
112,0,50.48,29,2012-08-28,1,50.91,50.36,0,50.54,49.52,47.12,10,50.51,1.0,bull confirmed,4611700,7080852.0,0.651291680718648,-0.05,0,-0.09904912836767037,1
113,0,50.76,29,2012-08-29,1,51.07,50.51,0,50.66,49.52,47.12,11,51.02,1.0,bull confirmed,4611900,7001042.0,0.658744798274314,0.24,1,0.4728132387706856,1
114,0,50.81,29,2012-08-30,1,51.02,50.42,0,50.60,49.52,47.12,11,51.02,1.0,bull confirmed,5188200,7017916.0,0.7392792960189322,0.18,1,0.35426097224955716,1
115,0,50.45,29,2012-08-31,1,51.13,50.36,0,50.95,49.52,47.12,11,51.02,1.0,bull confirmed,5070900,7012924.0,0.7230792747789653,-0.52,0,-1.030723488602577,1
116,0,50.69,29,2012-09-04,1,50.80,50.17,0,50.54,49.52,47.12,10,50.51,1.0,bull confirmed,4233900,6947716.0,0.6093945118079093,-1.64,0,-3.2353521404616297,0
117,0,50.43,29,2012-09-05,1,51.03,50.34,0,50.86,49.52,47.12,11,51.02,1.0,bull confirmed,4166100,6893350.0,0.604365076486759,-1.16,0,-2.300218124132461,0
118,0,51.00,29,2012-09-06,1,51.09,50.63,0,50.68,49.52,47.12,11,51.02,1.0,bull confirmed,3741600,6819018.0,0.5487007073452512,-0.73,0,-1.4313725490196079,1
119,0,50.99,29,2012-09-07,1,51.34,50.82,0,51.07,49.52,47.12,11,51.02,1.0,bull confirmed,3732700,6751898.0,0.552837142978167,-0.39,0,-0.7648558540890371,1
120,0,49.93,29,2012-09-10,1,51.11,49.74,0,51.11,49.52,47.12,11,51.02,1.0,bull confirmed,5447700,6354454.0,0.8573041838055638,0.89,1,1.7824954936911677,1
121,2,49.05,30,2012-09-11,0,50.10,48.95,4,49.90,51.02,47.12,7,49.03,1.0,bull correction,6575400,6263528.0,1.0497917467599729,2.38,1,4.852191641182467,2
122,0,49.27,30,2012-09-12,0,49.74,49.14,0,49.14,51.02,47.12,8,49.52,1.0,bull correction,4834000,6100258.0,0.792425500691938,1.99,1,4.0389689466206615,2
123,0,50.27,30,2012-09-13,0,50.34,49.05,0,49.10,51.02,47.12,8,49.52,1.0,bull correction,6316500,6057384.0,1.0427768819014942,0.98,1,1.9494728466282076,1
124,4,50.60,31,2012-09-14,1,51.56,50.16,5,51.02,51.02,49.03,12,51.53,1.0,bull confirmed,15735800,6233344.0,2.524455573124153,1.80,1,3.5573122529644268,2
125,0,50.82,31,2012-09-17,1,50.97,50.38,0,50.92,51.02,49.03,10,50.51,1.0,bull confirmed,5481600,6253804.0,0.8765225133374823,1.40,1,2.7548209366391183,2
126,0,51.43,31,2012-09-18,1,51.71,50.65,0,50.68,51.02,49.03,12,51.53,1.0,bull confirmed,6600300,6300980.0,1.0475037216432999,0.99,1,1.924946529263076,1
127,0,51.26,31,2012-09-19,1,51.60,51.05,0,51.36,51.02,49.03,12,51.53,1.0,bull confirmed,6195400,6311634.0,0.9815841666357713,0.77,1,1.502145922746781,1
128,0,51.25,31,2012-09-20,1,51.28,50.75,0,51.02,51.02,49.03,11,51.02,1.0,bull confirmed,5776100,6320828.0,0.9138201514105431,1.21,1,2.3609756097560974,2
129,1,52.40,31,2012-09-21,1,52.44,51.22,1,51.39,51.02,49.03,13,52.05,1.0,bull confirmed,26628600,6731816.0,3.9556339626632693,-0.71,0,-1.3549618320610688,1
130,1,52.22,31,2012-09-24,1,52.84,52.10,1,52.31,51.02,49.03,14,52.57,1.0,bull confirmed,6443800,6759632.0,0.9532767464264327,0.45,1,0.8617387973956339,1
131,0,52.42,31,2012-09-25,1,52.70,52.09,0,52.44,51.02,49.03,14,52.57,1.0,bull confirmed,6343300,6823096.0,0.9296806024713707,0.56,1,1.0682945440671499,1
132,0,52.03,31,2012-09-26,1,52.94,52.00,0,52.56,51.02,49.03,14,52.57,1.0,bull confirmed,5562000,6810736.0,0.8166518273502306,1.01,1,1.9411877762829137,1
133,0,52.46,31,2012-09-27,1,52.65,51.96,0,52.51,51.02,49.03,14,52.57,1.0,bull confirmed,4245400,6793840.0,0.6248896058782661,1.62,1,3.0880670987418988,2
134,0,51.69,31,2012-09-28,1,52.22,51.47,0,52.19,51.02,49.03,13,52.05,1.0,bull confirmed,5838100,6576670.0,0.8876984857078126,1.60,1,3.0953762816792416,2
135,0,52.67,31,2012-10-01,1,52.76,51.79,0,51.98,51.02,49.03,14,52.57,1.0,bull confirmed,4424400,6497812.0,0.6809061265546003,1.06,1,2.0125308524776915,2
136,0,52.98,31,2012-10-02,1,53.07,52.53,0,52.67,51.02,49.03,14,52.57,1.0,bull confirmed,3828700,6453646.0,0.59326154548917,0.63,1,1.189127972819932,1
137,1,53.04,31,2012-10-03,1,53.31,52.82,1,53.15,51.02,49.03,15,53.09,1.0,bull confirmed,4662900,6395682.0,0.7290700194287333,0.23,1,0.4336349924585219,1
138,1,54.08,31,2012-10-04,1,54.24,53.18,2,53.31,51.02,49.03,17,54.16,1.0,bull confirmed,6897300,6141550.0,1.1230552547809591,-0.29,0,-0.5362426035502958,1
139,0,53.29,31,2012-10-05,1,54.24,53.02,0,54.20,51.02,49.03,17,54.16,1.0,bull confirmed,6078300,6052904.0,1.0041956720278398,-0.05,0,-0.09382623381497467,1
140,0,53.73,31,2012-10-08,1,54.37,53.47,0,53.72,51.02,49.03,17,54.16,1.0,bull confirmed,6050700,6002520.0,1.0080266288158972,-0.10,0,-0.18611576400521124,1
141,0,53.61,31,2012-10-09,1,53.95,53.26,0,53.73,51.02,49.03,16,53.62,1.0,bull confirmed,5093300,6016278.0,0.8465865440393545,-0.55,0,-1.0259279985077412,1
142,0,53.27,31,2012-10-10,1,53.88,53.10,0,53.56,51.02,49.03,16,53.62,1.0,bull confirmed,4141500,5901518.0,0.7017685958087394,-1.04,0,-1.9523183780739628,1
143,0,53.79,31,2012-10-11,1,54.27,53.48,0,53.67,51.02,49.03,17,54.16,1.0,bull confirmed,5035900,5849884.0,0.8608546767764967,-1.54,0,-2.8629856850715747,0
144,0,53.24,31,2012-10-12,1,53.87,53.10,0,53.87,51.02,49.03,16,53.62,1.0,bull confirmed,4283900,5789152.0,0.7399874800316177,-1.32,0,-2.479338842975207,0
145,0,53.63,31,2012-10-15,1,53.91,53.10,0,53.30,51.02,49.03,16,53.62,1.0,bull confirmed,4193300,5744858.0,0.7299223061736252,-0.89,0,-1.6595189259742682,1
146,2,53.06,32,2012-10-16,0,53.96,52.48,3,53.35,54.16,49.03,14,52.57,1.0,bull correction,7531600,5795838.0,1.299484216087475,-0.66,0,-1.2438748586505843,1
147,3,52.23,32,2012-10-17,0,53.82,51.91,1,53.71,54.16,49.03,13,52.05,1.0,bull correction,6255200,5789126.0,1.0805085258120137,-0.07,0,-0.1340225923798583,1
148,0,52.25,32,2012-10-18,0,52.64,52.01,0,52.05,54.16,49.03,13,52.05,1.0,bull correction,5384500,5782456.0,0.931178724057736,0.18,1,0.3444976076555024,1
149,0,51.92,32,2012-10-19,0,52.32,51.65,0,52.25,54.16,49.03,13,52.05,1.0,bull correction,5704800,5798738.0,0.9838002682652673,0.11,1,0.211864406779661,1
150,0,52.74,32,2012-10-22,0,52.82,51.72,0,51.79,54.16,49.03,13,52.05,1.0,bull correction,5723600,5805576.0,0.9858797817822038,-0.50,0,-0.9480470231323473,1
151,0,52.40,32,2012-10-23,0,52.54,51.63,0,52.31,54.16,49.03,13,52.05,1.0,bull correction,5557400,5831526.0,0.9529924071332272,0.72,1,1.3740458015267176,1
152,0,52.16,32,2012-10-24,0,52.86,52.02,0,52.65,54.16,49.03,13,52.05,1.0,bull correction,4545000,5853222.0,0.7764954071449879,0.12,1,0.23006134969325154,1
153,0,52.43,32,2012-10-25,0,52.91,52.05,0,52.18,54.16,49.03,13,52.05,1.0,bull correction,4701900,5854314.0,0.8031513171312642,-0.86,0,-1.6402822811367537,1
154,0,52.03,32,2012-10-26,0,52.48,51.62,0,52.37,54.16,49.03,13,52.05,1.0,bull correction,3346700,5809270.0,0.5760964802806549,0.57,1,1.095521814337882,1
155,0,52.24,32,2012-10-31,0,52.39,51.78,0,52.37,54.16,49.03,13,52.05,1.0,bull correction,4157700,5799352.0,0.716924925405459,-1.63,0,-3.1202143950995405,0
156,0,53.12,32,2012-11-01,0,53.25,52.11,0,52.11,54.16,49.03,14,52.57,1.0,bull correction,4833700,5797416.0,0.8337680097477911,-3.27,0,-6.155873493975903,0
157,0,52.28,32,2012-11-02,0,53.39,52.23,0,53.19,54.16,49.03,14,52.57,1.0,bull correction,4948200,5789914.0,0.8546240928621738,-2.93,0,-5.604437643458302,0
158,3,51.57,32,2012-11-05,0,52.61,51.15,1,52.48,54.16,49.03,12,51.53,1.0,bull correction,6149600,5805564.0,1.0592597032777522,-2.88,0,-5.5846422338568935,0
159,3,52.60,32,2012-11-06,0,52.70,50.98,1,51.57,54.16,49.03,11,51.02,1.0,bull correction,4880800,5814174.0,0.8394657607426266,-3.92,0,-7.452471482889734,0
160,3,50.61,32,2012-11-07,0,51.68,49.80,2,51.66,54.16,49.03,9,50.01,1.0,bull correction,13812600,6007562.0,2.299202238778393,-2.80,0,-5.532503457814661,0
161,0,49.85,32,2012-11-08,0,51.29,49.83,0,50.70,54.16,49.03,9,50.01,1.0,bull correction,8846100,6089012.0,1.4527972682596126,-2.04,0,-4.092276830491475,0
162,3,49.35,32,2012-11-09,0,50.37,49.10,1,49.78,54.16,49.03,8,49.52,1.0,bull correction,8585800,6168494.0,1.3918794441560614,-0.94,0,-1.9047619047619047,1
163,3,48.69,32,2012-11-12,0,49.92,48.55,1,49.48,54.16,49.03,7,49.03,1.0,bull correction,5944000,6195136.0,0.9594623911404043,0.67,1,1.3760525775313206,1
164,3,48.68,32,2012-11-13,0,49.42,48.51,1,48.54,54.16,49.03,6,48.54,0.0,bear confirmed,5669900,6204770.0,0.9137969658826999,0.89,1,1.828266228430567,1
165,3,47.81,32,2012-11-14,0,48.91,47.66,1,48.87,54.16,49.03,5,48.06,0.0,bear confirmed,5792500,6219202.0,0.9313895898541324,2.12,1,4.434218782681447,2
166,0,47.81,32,2012-11-15,0,48.24,47.66,0,47.82,54.16,49.03,5,48.06,0.0,bear confirmed,6668600,6267896.0,1.0639295865789733,2.49,1,5.20811545701736,2
167,0,48.41,32,2012-11-16,0,48.68,47.70,0,47.81,54.16,49.03,5,48.06,0.0,bear confirmed,6388000,6312334.0,1.01198700829202,1.52,1,3.1398471390208633,2
168,0,49.36,32,2012-11-19,0,49.36,48.37,0,48.72,54.16,49.03,6,48.54,0.0,bear confirmed,5868900,6354880.0,0.9235264867314568,-0.30,0,-0.6077795786061588,1
169,4,49.57,33,2012-11-20,1,49.61,49.12,3,49.36,54.16,48.06,8,49.52,0.0,bear correction,4737800,6374982.0,0.7431864121341832,-0.36,0,-0.7262457131329433,1
170,1,49.93,33,2012-11-21,1,50.09,49.27,1,49.63,54.16,48.06,9,50.01,0.0,bear correction,5097000,6367968.0,0.8004123136297168,0.78,1,1.5621870618866414,1
171,0,50.30,33,2012-11-23,1,50.31,49.91,0,50.06,54.16,48.06,9,50.01,0.0,bear correction,1709300,6270646.0,0.2725875452066661,0.44,1,0.8747514910536779,1
172,0,49.93,33,2012-11-26,1,50.01,49.22,0,49.43,54.16,48.06,9,50.01,0.0,bear correction,5692900,6287824.0,0.9053847563163345,0.34,1,0.6809533346685359,1
173,0,49.06,33,2012-11-27,1,50.21,49.02,0,49.56,54.16,48.06,9,50.01,0.0,bear correction,7859400,6318682.0,1.2438353441429715,0.88,1,1.7937219730941705,1
174,0,49.21,33,2012-11-28,1,49.66,48.73,0,48.76,54.16,48.06,8,49.52,0.0,bear correction,5744200,6118850.0,0.9387711743219722,1.01,1,2.052428368217842,2
175,1,50.71,33,2012-11-29,1,50.92,49.44,1,49.68,54.16,48.06,10,50.51,0.0,bear correction,10911600,6227450.0,1.75217785771062,-0.67,0,-1.3212384145139027,1
176,1,50.74,33,2012-11-30,1,51.19,50.44,1,50.54,54.16,48.06,11,51.02,0.0,bear correction,7818600,6251816.0,1.2506126219965528,-0.29,0,-0.5715411903823413,1
177,0,50.27,33,2012-12-03,1,51.26,50.21,0,50.89,54.16,48.06,11,51.02,0.0,bear correction,3861300,6205134.0,0.6222750387018233,0.48,1,0.9548438432464691,1
178,0,49.94,33,2012-12-04,1,50.60,49.92,0,50.34,54.16,48.06,10,50.51,0.0,bear correction,5948900,6208590.0,0.9581724675006724,1.34,1,2.683219863836604,2
