open,high,low,close,volume,50ma,label
88.24,88.56,87.9,88.01,50701700,95014276.0,1
87.64,87.76,86.62,86.75,75674900,94733058.0,2
87.2,87.37,85.89,86.93,84580300,94792908.0,1
87.0,88.23,86.84,88.2,91973000,95210010.0,0
88.28,88.38,87.5,87.59,84093800,95369974.0,1
87.97,88.64,87.66,88.38,97799100,95943274.0,1
88.61,89.19,88.31,88.92,82416600,96576620.0,1
88.92,89.29,86.52,86.61,121999500,97602428.0,2
86.92,87.57,85.79,86.33,125995800,98014840.0,2
87.14,87.54,85.73,87.53,178058300,99575546.0,2
88.52,89.58,88.18,89.25,149590000,101358782.0,2
90.16,91.08,89.89,90.34,150118500,101939236.0,1
91.39,91.45,90.77,91.45,99507800,101834740.0,1
91.46,91.78,91.01,91.73,93375800,101805228.0,0
91.51,92.0,91.42,91.75,81718700,100879814.0,0
91.37,91.48,90.64,91.31,84142100,100216046.0,0
91.79,92.14,91.39,91.49,142897300,100933784.0,0
89.76,90.84,89.25,90.27,159941600,102575480.0,0
89.94,90.53,87.95,88.02,129697400,103663126.0,1
87.39,87.91,86.41,86.93,144125800,105077518.0,1
86.81,89.15,86.29,89.04,148522500,106784468.0,0
88.7,89.01,87.13,87.18,133777700,107275714.0,0
87.75,88.44,85.79,86.17,135898700,108006332.0,0
86.48,87.08,85.03,86.42,156998100,108706416.0,0
86.88,87.8,86.59,87.74,106070300,108002160.0,0
87.72,88.11,86.97,87.14,92681400,105469224.0,0
86.93,87.03,85.11,85.28,148501500,106406090.0,0
84.53,84.62,83.13,83.4,159498500,107576378.0,1
83.46,83.7,81.48,83.09,209649300,109873652.0,2
83.6,84.29,83.24,83.75,127589000,110113794.0,1
84.48,84.58,82.08,82.08,136520300,110921692.0,1
82.27,83.03,81.71,82.29,115003700,111560974.0,0
82.64,83.0,81.52,82.95,108125500,111998880.0,1
83.03,84.98,82.46,84.92,137442900,113237222.0,0
84.79,85.31,84.16,84.24,97259400,113730176.0,0
83.58,83.9,82.33,82.67,119156100,114889768.0,0
82.47,82.56,79.66,79.69,186021500,117501986.0,1
80.03,83.03,79.81,82.86,136682700,119260946.0,0
82.46,82.84,79.94,80.15,176786400,121402512.0,0
81.21,81.88,79.8,80.61,139631800,122494302.0,0
81.02,81.28,79.13,79.65,164081400,124489218.0,0
79.64,80.24,77.23,78.93,254608200,128308712.0,0
77.74,78.66,76.8,77.8,127500800,128644922.0,0
78.18,78.8,77.65,77.96,90324500,127384488.0,0
77.87,78.01,75.11,75.38,149843400,126317758.0,0
76.25,76.81,75.48,76.4,132283900,126136822.0,0
77.13,77.2,75.81,76.17,93729300,125910764.0,0
75.33,75.42,72.96,73.25,198412200,127692306.0,0
73.6,73.81,70.27,70.59,264036500,130837994.0,0
70.94,72.84,70.06,71.82,232478400,134150478.0,0
72.75,72.79,70.71,71.26,128950500,135715454.0,2
70.75,72.26,70.41,71.27,133237300,136866702.0,2
71.61,71.87,70.39,70.48,119292600,137560948.0,2
70.56,70.82,68.61,69.0,197477700,139671042.0,2
68.95,69.58,66.39,69.27,316723400,144323634.0,2
70.98,74.5,70.87,74.27,205829400,146484240.0,2
75.08,75.08,72.8,73.64,160688500,148049678.0,2
74.07,74.48,73.07,73.74,93250500,147474698.0,2
74.46,75.09,73.86,75.02,68206600,146318914.0,2
75.6,77.45,75.32,77.39,157644900,145910646.0,1
77.39,77.51,76.15,76.77,133332500,145585496.0,1
75.78,76.9,75.12,76.53,130216100,145187448.0,0
77.48,78.01,76.83,77.37,128674700,145770786.0,0
77.03,77.24,76.49,76.83,97829900,145859868.0,0
77.93,78.06,76.86,76.95,91070000,146046894.0,0
76.38,76.38,75.11,75.6,139267100,147149394.0,0
74.68,74.73,70.73,70.73,261159500,149514638.0,1
69.44,72.64,68.08,71.84,294303100,152201868.0,0
72.65,72.88,69.58,70.0,196760200,153543124.0,0
68.92,70.69,68.47,69.55,157621100,153813030.0,0
70.86,72.14,70.54,71.07,148086400,153804308.0,1
71.91,71.94,70.4,70.76,121786000,153564474.0,0
69.73,70.58,69.02,69.54,156314900,153972798.0,1
67.58,68.02,66.37,66.92,252394800,155880732.0,1
66.81,68.26,65.8,68.11,189401800,157547362.0,1
68.92,70.22,68.3,70.09,156421300,158822160.0,0
69.77,70.06,68.99,69.09,112342300,158098976.0,0
69.58,69.6,68.12,68.49,120422400,157317454.0,0
67.28,68.22,66.98,68.18,149067100,156105810.0,2
68.31,68.82,68.1,68.29,43938300,154432796.0,2
68.13,68.19,67.1,67.34,75609100,153214572.0,2
67.42,67.77,66.25,67.62,113780100,153190100.0,2
66.99,67.54,66.7,66.9,88569600,152798982.0,2
67.02,70.29,66.82,69.86,164873100,153347586.0,1
72.7,72.86,71.1,72.08,140129500,154204988.0,0
71.92,72.16,71.02,71.16,88241300,153586692.0,0
70.49,70.71,69.03,69.18,148583400,152837930.0,1
68.53,69.48,67.63,68.78,121039100,152525058.0,0
69.47,69.82,68.43,68.96,114676800,151282866.0,0
68.59,68.92,67.74,67.88,101901100,150528252.0,0
69.39,69.41,67.68,68.72,150286500,150252354.0,0
68.4,68.96,68.14,68.3,87626700,146912724.0,0
65.99,66.62,65.44,65.87,183551900,148033746.0,1
65.42,65.51,63.46,63.79,219193100,150611118.0,2
64.94,66.88,64.65,66.44,172701200,151068274.0,0
66.99,67.05,65.9,65.99,113419600,150690988.0,0
65.44,65.93,65.17,65.64,118230700,151181016.0,0
66.24,66.67,65.2,66.26,115386600,149520504.0,0
66.8,67.61,66.26,67.48,215377400,148547322.0,0
60.39,61.14,59.11,59.14,365213100,151202016.0,1
59.3,59.89,57.1,57.75,302006600,154663138.0,2
57.48,59.5,57.22,59.05,196379400,155925980.0,1
60.19,60.41,59.35,60.16,142789500,156395918.0,1
59.99,60.73,59.66,59.97,104288800,154532140.0,1
59.99,60.29,59.73,59.8,79833600,149794344.0,2
60.27,60.32,58.86,59.55,134871100,148375178.0,2
59.59,59.85,58.02,58.07,119279300,147546994.0,2
58.29,60.35,58.05,60.1,143336900,148548722.0,2
59.92,61.24,59.41,60.04,148426600,150153122.0,2
61.17,62.06,59.96,61.82,176145200,150523128.0,1
62.59,63.22,61.83,62.72,158289600,151022270.0,0
62.92,64.03,62.49,63.37,129372600,151005400.0,0
63.32,63.69,61.76,61.78,152263300,151477172.0,0
61.69,62.54,61.16,61.66,118801900,151896612.0,0
61.34,62.28,61.27,61.61,88818800,151851588.0,0
61.91,62.08,60.73,60.76,97936300,151024972.0,0
60.88,61.1,59.93,60.74,108945900,147980700.0,0
60.43,60.43,59.26,59.27,119075600,144476150.0,1
58.89,59.31,58.47,58.9,111795600,142776858.0,1
59.32,59.63,58.97,59.53,82663700,141277710.0,0
59.93,60.1,58.44,58.47,93144800,140178878.0,0
58.6,59.62,57.79,59.28,125374900,140250656.0,0
59.21,59.74,58.18,58.7,146837600,140061110.0,0
58.63,59.14,58.28,58.28,80628800,136625790.0,0
57.83,57.86,56.78,56.84,138112100,135599996.0,1
56.49,56.54,55.33,55.46,145688900,135385348.0,2
55.65,57.46,55.56,56.93,159608400,136330670.0,1
57.37,57.47,56.04,56.2,115062500,136223472.0,1
56.05,57.04,55.6,56.86,117118400,135584498.0,1
56.75,57.5,56.59,57.0,97870500,136663142.0,2
56.74,57.97,56.14,57.82,118559000,137522140.0,2
57.52,57.95,56.46,56.57,116477900,137576096.0,2
56.57,57.37,56.16,56.56,101387300,137832450.0,2
57.15,57.39,56.84,57.11,75968900,136054366.0,2
57.82,58.66,57.74,58.58,160990200,136471580.0,2
58.29,60.4,58.26,60.17,151549300,137737740.0,1
60.67,60.87,59.22,60.01,131693800,137399948.0,1
60.4,60.43,59.36,59.69,77165200,136522470.0,1
59.45,60.47,59.43,59.78,95813900,136145212.0,0
60.02,61.02,59.83,60.99,98776300,136082716.0,0
61.36,62.05,60.97,61.21,125283900,135582664.0,0
61.46,61.51,60.81,60.89,73573500,135301600.0,0
