,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction,pct_change,label
191,0,75.18,29,2012-12-21,1,75.48,74.14,0,75.02,72.27,68.09,17,75.21,1.0,bull confirmed,7168200,4264116.0,1.6810518287964022,-0.49,0,-0.6517690875232774,1
192,0,74.90,29,2012-12-24,1,75.41,74.80,0,75.22,72.27,68.09,17,75.21,1.0,bull confirmed,1213400,4188556.0,0.2896941093780291,1.60,1,2.1361815754339117,2
193,0,74.78,29,2012-12-26,1,75.08,74.32,0,74.99,72.27,68.09,16,74.46,1.0,bull confirmed,2179800,4143994.0,0.5260142751171937,2.01,1,2.6878844610858517,2
194,0,74.75,29,2012-12-27,1,75.09,73.90,0,74.83,72.27,68.09,16,74.46,1.0,bull confirmed,2953400,4117238.0,0.7173255468836147,2.65,1,3.5451505016722407,2
195,2,73.60,30,2012-12-28,0,74.52,73.48,3,74.25,75.96,68.09,15,73.73,1.0,bull correction,2212500,4104400.0,0.5390556475977001,3.42,1,4.646739130434782,2
196,0,74.69,30,2012-12-31,0,74.92,73.12,0,73.33,75.96,68.09,15,73.73,1.0,bull correction,3678800,4120058.0,0.8929000514070433,1.41,1,1.8878029187307537,1
197,4,76.50,31,2013-01-02,1,76.50,75.69,3,75.99,75.96,73.73,18,75.96,1.0,bull confirmed,4485200,4137544.0,1.0840247257793512,0.51,1,0.6666666666666666,1
198,1,76.79,31,2013-01-03,1,76.92,75.97,1,76.28,75.96,73.73,19,76.72,1.0,bull confirmed,3786600,4146936.0,0.9131078945997719,0.60,1,0.7813517385076182,1
199,0,77.40,31,2013-01-04,1,77.41,76.57,0,76.93,75.96,73.73,19,76.72,1.0,bull confirmed,3855900,4141906.0,0.9309482156282639,0.18,1,0.23255813953488372,1
200,0,77.02,31,2013-01-07,1,77.41,76.84,0,77.00,75.96,73.73,19,76.72,1.0,bull confirmed,3378500,4136334.0,0.81678607191779,1.12,1,1.4541677486367177,1
201,0,76.10,31,2013-01-08,1,77.15,75.82,0,76.86,75.96,73.73,19,76.72,1.0,bull confirmed,4830600,4101246.0,1.1778371743611575,2.19,1,2.8777923784494086,2
202,1,77.01,31,2013-01-09,1,77.70,76.35,1,76.45,75.96,73.73,20,77.49,1.0,bull confirmed,3770000,4062304.0,0.928044774590971,0.93,1,1.2076353720296065,1
203,0,77.39,31,2013-01-10,1,77.43,76.83,0,77.42,75.96,73.73,19,76.72,1.0,bull confirmed,3541500,4042548.0,0.8760563881987301,1.30,1,1.679803592195374,1
204,0,77.58,31,2013-01-11,1,77.86,77.10,0,77.30,75.96,73.73,20,77.49,1.0,bull confirmed,2983600,4015748.0,0.7429749077880385,1.61,1,2.0752771332817734,2
205,1,78.14,31,2013-01-14,1,78.30,77.64,1,77.64,75.96,73.73,21,78.26,1.0,bull confirmed,3125400,3996360.0,0.782061676125274,1.52,1,1.9452265165088303,1
206,0,78.29,31,2013-01-15,1,78.44,77.33,0,77.58,75.96,73.73,21,78.26,1.0,bull confirmed,2758800,3931124.0,0.7017840190235668,1.92,1,2.452420487929493,2
207,0,77.94,31,2013-01-16,1,78.15,77.55,0,77.91,75.96,73.73,20,77.49,1.0,bull confirmed,2447300,3882180.0,0.6303932326682431,3.05,1,3.913266615345137,2
208,0,78.69,31,2013-01-17,1,78.87,77.95,0,78.40,75.96,73.73,21,78.26,1.0,bull confirmed,3430700,3880494.0,0.8840884691485156,3.09,1,3.9268013724742663,2
209,1,79.19,31,2013-01-18,1,79.56,78.54,1,78.97,75.96,73.73,22,79.05,1.0,bull confirmed,4220000,3872932.0,1.0896137603242195,2.60,1,3.283242833691123,2
210,0,79.66,31,2013-01-22,1,79.69,78.64,0,78.90,75.96,73.73,22,79.05,1.0,bull confirmed,4117700,3851696.0,1.069061525104785,2.09,1,2.6236505146874216,2
211,1,80.21,31,2013-01-23,1,80.49,79.06,1,79.50,75.96,73.73,23,79.84,1.0,bull confirmed,3959900,3862898.0,1.0251111988978223,0.94,1,1.1719237002867473,1
212,1,80.99,31,2013-01-24,1,81.02,79.72,1,80.16,75.96,73.73,24,80.63,1.0,bull confirmed,5352200,3892840.0,1.3748831187513486,-1.23,0,-1.5187060130880357,1
213,1,81.78,31,2013-01-25,1,81.80,80.93,1,80.93,75.96,73.73,25,81.44,1.0,bull confirmed,4548500,3922666.0,1.1595430250752932,0.04,1,0.048911714355588165,1
214,0,81.79,31,2013-01-28,1,81.97,81.38,0,81.91,75.96,73.73,25,81.44,1.0,bull confirmed,4447600,3936992.0,1.1296949549300583,-0.24,0,-0.2934344051840078,1
215,0,81.75,31,2013-01-29,1,81.84,81.16,0,81.80,75.96,73.73,25,81.44,1.0,bull confirmed,4369600,3938896.0,1.1093463752279826,-0.45,0,-0.5504587155963303,1
216,0,81.15,31,2013-01-30,1,81.72,81.08,0,81.62,75.96,73.73,25,81.44,1.0,bull confirmed,4479100,3955980.0,1.132235248914302,0.25,1,0.3080714725816389,1
217,0,79.76,31,2013-01-31,1,81.15,79.76,0,80.68,75.96,73.73,24,80.63,1.0,bull confirmed,5742000,3985130.0,1.4408563836060555,2.16,1,2.7081243731193583,2
218,0,81.82,31,2013-02-01,1,82.07,80.14,0,80.14,75.96,73.73,25,81.44,1.0,bull confirmed,6773500,4044302.0,1.6748254705014611,0.23,1,0.28110486433634807,1
219,1,81.55,31,2013-02-04,1,82.65,81.22,1,82.36,75.96,73.73,26,82.26,1.0,bull confirmed,5894000,4105814.0,1.435525330665247,0.06,1,0.07357449417535254,1
220,0,81.30,31,2013-02-05,1,82.52,81.10,0,82.21,75.96,73.73,26,82.26,1.0,bull confirmed,5106400,4149712.0,1.2305432280601643,0.65,1,0.7995079950799509,1
