open,high,low,close,volume,prior_high,50ma,next_close
78.31,80.52,78.12,80.5,149587900,80.63,153789888.0,81.89
113.9,116.21,113.05,116.18,85551352,115.37,60371123.0,117.4
103.71,104.73,103.67,104.68,30202641,99.37,35547176.0,105.33
94.36,96.49,94.24,96.49,62370501,98.39,57287554.0,95.88
125.17,125.69,124.42,125.69,46164710,126.18,42485176.0,128.06
105.6,106.25,105.08,106.18,26701523,108.68,32191914.0,107.18
68.47,69.31,67.57,68.16,266380800,75.21,86117024.0,67.39
109.57,109.86,107.19,107.51,53233940,110.87,60522909.0,106.44
90.23,90.43,89.69,90.26,55197000,91.77,56604640.0,92.62
59.8,59.96,58.6,58.67,96536300,61.03,115660608.0,59.14
108.52,108.81,106.0,106.17,41403351,109.77,47909877.0,105.16
53.34,53.92,52.66,53.63,166059600,57.49,112562772.0,53.54
97.21,97.26,94.51,94.68,39020983,94.55,52162162.0,94.46
92.39,92.47,90.89,91.75,43699886,109.77,38159101.0,91.82
75.33,79.37,74.42,79.34,256382000,83.08,172954068.0,79.16
96.04,99.11,95.82,98.88,50407147,96.45,50494790.0,99.09
120.29,120.42,118.69,119.02,39546151,123.69,59781885.0,122.03
98.56,99.35,97.79,98.82,42307212,109.77,40308059.0,97.43
72.89,73.17,72.44,73.0,88925200,73.0,82900216.0,73.78
92.29,93.24,92.09,93.08,43469000,91.77,57550210.0,94.36
91.51,93.59,91.37,92.19,72154523,97.42,59701822.0,93.54
92.03,92.79,91.62,91.82,32936436,109.77,38238007.0,92.44
58.6,59.24,58.53,59.17,69041700,61.03,116949686.0,58.67
56.69,57.25,56.38,57.18,54134500,60.42,92741698.0,57.2
85.97,86.43,85.43,86.11,36869000,89.96,70690896.0,86.62
93.81,94.06,93.08,93.53,33010000,91.77,56055342.0,91.1
92.41,105.98,89.61,100.45,162206292,114.23,55158105.0,101.05
114.5,115.54,113.55,113.75,33386563,120.05,45277336.0,112.69
57.08,57.12,56.55,56.66,51949100,60.42,87956232.0,55.69
110.86,112.43,110.6,112.12,27068316,111.98,33238744.0,113.95
57.6,57.8,57.24,57.39,54719700,60.42,89929070.0,56.48
107.15,107.45,106.27,107.18,26802450,108.68,32083159.0,107.15
110.44,111.22,109.6,110.46,50346159,113.1,63250059.0,111.36
